# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([11.14886065,  3.61763682])"
1,PHARYNX,,I1R,"array([11.81394911,  4.28324381])"
2,PHARYNX,,I2L,"array([10.78914723,  3.31356832])"
3,PHARYNX,,I2R,"array([11.99759537,  4.4345624 ])"
4,PHARYNX,,I3,"array([11.53407822,  4.79425201])"
5,PHARYNX,,I4,"array([10.67485935,  3.88832254])"
6,PHARYNX,,I5,"array([10.53098321,  4.12783491])"
7,PHARYNX,,I6,"array([9.73615141, 4.11193062])"
8,PHARYNX,,M1,"array([11.79734518,  4.96830412])"
9,PHARYNX,,M2L,"array([10.39716144,  3.67965534])"
10,PHARYNX,,M2R,"array([11.18344068,  4.39917107])"
11,PHARYNX,,M3L,"array([10.88705532,  4.18331547])"
12,PHARYNX,,M3R,"array([11.02569482,  4.57049669])"
13,PHARYNX,,M4,"array([10.39774114,  4.3488174 ])"
14,PHARYNX,,M5,"array([10.00853273,  4.46510205])"
15,PHARYNX,,MCL,"array([10.02450355,  3.27263608])"
16,PHARYNX,,MCR,"array([11.62165116,  4.04073552])"
17,PHARYNX,,MI,"array([11.24944705,  5.0296951 ])"
18,PHARYNX,,NSML,"array([11.41149338,  3.66046396])"
19,PHARYNX,,NSMR,"array([11.41260803,  4.25251434])"
20,PHARYNX,,pm1,"array([12.73403792,  3.55232871])"
21,PHARYNX,,pm2D,"array([12.44266496,  4.11941035])"
22,PHARYNX,,pm2VL,"array([12.18564401,  3.22938643])"
23,PHARYNX,,pm2VR,"array([12.42379922,  3.62440829])"
24,PHARYNX,,pm3D,"array([11.81564264,  4.59233127])"
25,PHARYNX,,pm3VL,"array([11.50189238,  3.38670932])"
26,PHARYNX,,pm3VR,"array([12.01723895,  3.96109536])"
27,PHARYNX,,pm4D,"array([11.31161899,  4.68390292])"
28,PHARYNX,,pm4VL,"array([10.93844301,  3.72319204])"
29,PHARYNX,,pm4VR,"array([11.51112579,  4.47489503])"
30,PHARYNX,,pm5D,"array([11.00898174,  4.79755266])"
31,PHARYNX,,pm5VL,"array([10.27945914,  4.19676724])"
32,PHARYNX,,pm5VR,"array([10.70911142,  4.8606759 ])"
33,PHARYNX,,pm6D,"array([10.48717383,  5.324067  ])"
34,PHARYNX,,pm6VL,"array([9.75982173, 4.75288453])"
35,PHARYNX,,pm6VR,"array([10.0983402 ,  5.04061342])"
36,PHARYNX,,pm7D,"array([9.97705031, 5.82886472])"
37,PHARYNX,,pm7VL,"array([9.3650848 , 5.45053729])"
38,PHARYNX,,pm7VR,"array([9.60590754, 5.79978784])"
39,PHARYNX,,pm8,"array([9.73649963, 5.56725613])"
40,PHARYNX,,mc1DL,"array([11.20076456,  4.11229167])"
41,PHARYNX,,mc1DR,"array([11.50352604,  5.10007489])"
42,PHARYNX,,mc1V,"array([11.6333039 ,  3.77357997])"
43,PHARYNX,,mc2DL,"array([10.51578588,  4.6788208 ])"
44,PHARYNX,,mc2DR,"array([10.87250811,  5.32395508])"
45,PHARYNX,,mc2V,"array([10.20184094,  4.70470783])"
46,PHARYNX,,mc3DL,"array([9.95134742, 5.27343721])"
47,PHARYNX,,mc3DR,"array([10.1922999 ,  5.57541863])"
48,PHARYNX,,mc3V,"array([9.58345905, 5.2368079 ])"
49,PHARYNX,,e2D,"array([13.67812049,  3.32750348])"
50,PHARYNX,,e2VL,"array([11.40136661,  2.44890218])"
51,PHARYNX,,e2VR,"array([13.21268219,  4.0672417 ])"
52,PHARYNX,,e3D,"array([13.29354075,  3.58249224])"
53,PHARYNX,,e3VL,"array([11.22628697,  2.90426895])"
54,PHARYNX,,e3VR,"array([12.74523195,  4.39102122])"
55,PHARYNX,,g1AL,"array([10.27809195,  3.91771009])"
56,PHARYNX,,g1AR,"array([10.72724821,  4.4256614 ])"
57,SENSORY NEURONS,,ASIL,"array([ 9.40724348, -7.89308002])"
58,SENSORY NEURONS,,ASIR,"array([ 8.99267385, -7.33581457])"
59,SENSORY NEURONS,,ASJL,"array([ 8.83853407, -3.00906894])"
60,SENSORY NEURONS,,ASJR,"array([10.13768475, -7.50466864])"
61,SENSORY NEURONS,,AWAL,"array([ 8.41976853, -8.21293266])"
62,SENSORY NEURONS,,AWAR,"array([ 9.50861872, -8.9278625 ])"
63,SENSORY NEURONS,,ASGL,"array([ 9.97946715, -8.02293952])"
64,SENSORY NEURONS,,ASGR,"array([ 0.69790974, -6.95379272])"
65,SENSORY NEURONS,,AWBL,"array([ 7.84311186, -7.72087949])"
66,SENSORY NEURONS,,AWBR,"array([17.00872032, -3.27568388])"
67,SENSORY NEURONS,,ASEL,"array([ 8.80446072, -2.1059748 ])"
68,SENSORY NEURONS,,ASER,"array([16.15848883, -5.44187531])"
69,SENSORY NEURONS,,ADFL,"array([ 8.72437493, -8.04172761])"
70,SENSORY NEURONS,,ADFR,"array([ 4.49384213, -8.23112449])"
71,SENSORY NEURONS,,AFDL,"array([ 3.67779898, -7.8646624 ])"
72,SENSORY NEURONS,,AFDR,"array([ 4.24685437, -7.65181193])"
73,SENSORY NEURONS,,AWCL,"array([17.41356864, -2.20582085])"
74,SENSORY NEURONS,,AWCR,"array([0.67970006, 2.14825582])"
75,SENSORY NEURONS,,ASKL,"array([ 8.69625276, -6.25930313])"
76,SENSORY NEURONS,,ASKR,"array([ 9.12501204, -6.17646908])"
77,SENSORY NEURONS,,ASHL,"array([ 8.7062865 , -6.79125565])"
78,SENSORY NEURONS,,ASHR,"array([ 0.47121006, -0.71021086])"
79,SENSORY NEURONS,,ADLL,"array([ 3.96173008, -6.17912552])"
80,SENSORY NEURONS,,ADLR,"array([ 4.60694596, -6.26363953])"
81,SENSORY NEURONS,,BAGL,"array([ 8.6392428 , -7.53022648])"
82,SENSORY NEURONS,,BAGR,"array([-0.55910715, -3.93735123])"
83,SENSORY NEURONS,,URXL,"array([ 7.19758804, -7.24107583])"
84,SENSORY NEURONS,,URXR,"array([ 5.10908323, -6.56987976])"
85,SENSORY NEURONS,,ALNL,"array([-0.18630035,  0.20970815])"
86,SENSORY NEURONS,,ALNR,"array([16.80331401, -6.22666019])"
87,SENSORY NEURONS,,PLNL,"array([17.15546103, -4.89288716])"
88,SENSORY NEURONS,,PLNR,"array([ 8.92022525, -5.81882433])"
89,SENSORY NEURONS,,SDQL,"array([16.22841816, -0.77080546])"
90,SENSORY NEURONS,,SDQR,"array([ 6.11134787, -7.17391954])"
91,SENSORY NEURONS,,AQR,"array([ 8.31576402, -5.54872792])"
92,SENSORY NEURONS,,PQR,"array([ 8.28403307, -4.15396675])"
93,SENSORY NEURONS,,ALML,"array([ 7.04533424, -2.85128834])"
94,SENSORY NEURONS,,ALMR,"array([ 7.30531814, -2.68769918])"
95,SENSORY NEURONS,,AVM,"array([ 7.31393661, -3.06948503])"
96,SENSORY NEURONS,,PVM,"array([ 8.07009461, -4.58761801])"
97,SENSORY NEURONS,,PLML,"array([ 8.2670122 , -3.67227149])"
98,SENSORY NEURONS,,PLMR,"array([ 8.08682572, -3.68039796])"
99,SENSORY NEURONS,,FLPL,"array([ 5.67813225, -7.55526389])"
100,SENSORY NEURONS,,FLPR,"array([ 0.28233352, -3.4510551 ])"
101,SENSORY NEURONS,,DVA,"array([ 8.28313012, -4.59734812])"
102,SENSORY NEURONS,,PVDL,"array([ 7.95962239, -4.91508126])"
103,SENSORY NEURONS,,PVDR,"array([ 8.17753604, -5.01631907])"
104,SENSORY NEURONS,,ADEL,"array([14.33528199,  1.41249722])"
105,SENSORY NEURONS,,ADER,"array([ 4.97738991, -8.69303648])"
106,SENSORY NEURONS,,PDEL,"array([ 8.17581675, -4.47430231])"
107,SENSORY NEURONS,,PDER,"array([ 8.25249421, -4.29739987])"
108,SENSORY NEURONS,,PHAL,"array([ 8.73226024, -4.43889183])"
109,SENSORY NEURONS,,PHAR,"array([ 9.08822839, -4.70848538])"
110,SENSORY NEURONS,,PHBL,"array([ 8.58091861, -3.53473843])"
111,SENSORY NEURONS,,PHBR,"array([ 8.89284616, -4.1345059 ])"
112,SENSORY NEURONS,,PHCL,"array([ 8.75234598, -3.7200329 ])"
113,SENSORY NEURONS,,PHCR,"array([ 9.07517496, -3.82711024])"
114,SENSORY NEURONS,,IL2DL,"array([ 6.98404064, -8.98812862])"
115,SENSORY NEURONS,,IL2DR,"array([ 4.23060594, -6.74166095])"
116,SENSORY NEURONS,,IL2L,"array([ 7.29710721, -8.01334502])"
117,SENSORY NEURONS,,IL2R,"array([ 4.86548046, -6.97918863])"
118,SENSORY NEURONS,,IL2VL,"array([ 6.11773828, -8.89105132])"
119,SENSORY NEURONS,,IL2VR,"array([15.20187808, -0.58354   ])"
120,SENSORY NEURONS,,CEPDL,"array([ 6.99887884, -8.1809434 ])"
121,SENSORY NEURONS,,CEPDR,"array([ 5.49172851, -7.13452117])"
122,SENSORY NEURONS,,CEPVL,"array([ 6.30702696, -8.58089469])"
123,SENSORY NEURONS,,CEPVR,"array([ 5.93020618, -7.8882872 ])"
124,SENSORY NEURONS,,URYDL,"array([15.79589189,  0.24365194])"
125,SENSORY NEURONS,,URYDR,"array([ 7.17641041, -5.48986515])"
126,SENSORY NEURONS,,URYVL,"array([15.31109959,  2.1773825 ])"
127,SENSORY NEURONS,,URYVR,"array([ 7.10588748, -6.93922308])"
128,SENSORY NEURONS,,OLLL,"array([ 7.37919317, -7.39385001])"
129,SENSORY NEURONS,,OLLR,"array([ 7.83521055, -7.08129893])"
130,SENSORY NEURONS,,OLQDL,"array([ 6.87995091, -7.60573505])"
131,SENSORY NEURONS,,OLQDR,"array([ 6.95789384, -6.52559892])"
132,SENSORY NEURONS,,OLQVL,"array([ 7.31361983, -6.74334941])"
133,SENSORY NEURONS,,OLQVR,"array([ 6.65576139, -7.01314526])"
134,SENSORY NEURONS,,IL1DL,"array([14.96128735, -8.66622031])"
135,SENSORY NEURONS,,IL1DR,"array([ 4.91891684, -7.7265707 ])"
136,SENSORY NEURONS,,IL1L,"array([ 6.79966093, -8.545321  ])"
137,SENSORY NEURONS,,IL1R,"array([ 5.00365281, -8.21229906])"
138,SENSORY NEURONS,,IL1VL,"array([ 6.17592582, -8.29655932])"
139,SENSORY NEURONS,,IL1VR,"array([ 5.66245876, -8.08498249])"
140,INTERNEURONS,,AINL,"array([ 7.76590423, -8.11721689])"
141,INTERNEURONS,,AINR,"array([10.37892064, -8.52345099])"
142,INTERNEURONS,,AIML,"array([ 9.39352837, -7.27398785])"
143,INTERNEURONS,,AIMR,"array([ 9.59352282, -7.04817155])"
144,INTERNEURONS,,RIH,"array([ 5.38274146, -8.09179033])"
145,INTERNEURONS,,URBL,"array([ 7.20937074, -8.70021575])"
146,INTERNEURONS,,URBR,"array([ 0.10392728, -5.9878383 ])"
147,INTERNEURONS,,RIR,"array([ 8.31411999, -6.82348957])"
148,INTERNEURONS,,AIYL,"array([ 5.98890148, -9.28037582])"
149,INTERNEURONS,,AIYR,"array([ 4.30184106, -4.55405121])"
150,INTERNEURONS,,AIAL,"array([ 8.85150773, -8.56126916])"
151,INTERNEURONS,,AIAR,"array([ 9.24350595, -8.31906322])"
152,INTERNEURONS,,AUAL,"array([16.49412198, -1.95256202])"
153,INTERNEURONS,,AUAR,"array([17.20003058, -3.5757511 ])"
154,INTERNEURONS,,AIZL,"array([ 8.02975751, -7.31195454])"
155,INTERNEURONS,,AIZR,"array([ 8.18661394, -8.0143249 ])"
156,INTERNEURONS,,RIS,"array([ 6.61635927, -6.0456326 ])"
157,INTERNEURONS,,ALA,"array([ 7.64051735, -5.93567542])"
158,INTERNEURONS,,PVQL,"array([ 8.67210888, -5.08373824])"
159,INTERNEURONS,,PVQR,"array([ 9.07150175, -4.83992953])"
160,INTERNEURONS,,ADAL,"array([ 8.31251407, -7.24778226])"
161,INTERNEURONS,,ADAR,"array([0.86914135, 0.08971531])"
162,INTERNEURONS,,RIFL,"array([ 8.01058833, -6.84302702])"
163,INTERNEURONS,,RIFR,"array([15.91510703, -6.79119719])"
164,INTERNEURONS,,BDUL,"array([ 8.19985949, -2.59066292])"
165,INTERNEURONS,,BDUR,"array([ 7.81842932, -2.62156601])"
166,INTERNEURONS,,PVR,"array([ 7.73217476, -3.56688459])"
167,INTERNEURONS,,AVFL,"array([ 8.77790267, -4.94439757])"
168,INTERNEURONS,,AVFR,"array([ 8.41790404, -4.05649718])"
169,INTERNEURONS,,AVHL,"array([ 9.16029859, -4.99341312])"
170,INTERNEURONS,,AVHR,"array([ 8.45653349, -4.25600745])"
171,INTERNEURONS,,PVPL,"array([ 8.5416367 , -4.73853781])"
172,INTERNEURONS,,PVPR,"array([ 8.59274893, -4.86767771])"
173,INTERNEURONS,,LUAL,"array([ 8.6303882 , -3.24443906])"
174,INTERNEURONS,,LUAR,"array([ 7.95280738, -3.18502593])"
175,INTERNEURONS,,PVNL,"array([ 8.54266187, -4.37353317])"
176,INTERNEURONS,,PVNR,"array([ 8.77638302, -4.55797744])"
177,INTERNEURONS,,AVG,"array([ 8.75439103, -4.68458048])"
178,INTERNEURONS,,DVB,"array([ 8.9837893 , -4.97920126])"
179,INTERNEURONS,,RIBL,"array([ 7.48642153, -5.811539  ])"
180,INTERNEURONS,,RIBR,"array([ 6.48912737, -6.31980441])"
181,INTERNEURONS,,RIGL,"array([ 7.60456297, -6.61078401])"
182,INTERNEURONS,,RIGR,"array([ 7.26250148, -6.44061032])"
183,INTERNEURONS,,RMGL,"array([ 7.61930817, -6.9714537 ])"
184,INTERNEURONS,,RMGR,"array([ 5.55584731, -6.35482618])"
185,INTERNEURONS,,AIBL,"array([ 8.08203807, -6.32621239])"
186,INTERNEURONS,,AIBR,"array([ 7.71922197, -6.42136822])"
187,INTERNEURONS,,RICL,"array([ 8.2273303 , -6.07273028])"
188,INTERNEURONS,,RICR,"array([ 8.35591442, -5.85124289])"
189,INTERNEURONS,,SAADL,"array([-0.6412366 , -2.82870901])"
190,INTERNEURONS,,SAADR,"array([14.63880895,  0.33924784])"
191,INTERNEURONS,,SAAVL,"array([ 6.23073868, -5.75954489])"
192,INTERNEURONS,,SAAVR,"array([ 5.28544318, -5.28346333])"
193,INTERNEURONS,,AVKL,"array([ 8.10606422, -5.21113906])"
194,INTERNEURONS,,AVKR,"array([ 8.33570989, -5.09231727])"
195,INTERNEURONS,,DVC,"array([ 8.71477812, -4.8193851 ])"
196,INTERNEURONS,,AVJL,"array([ 8.39712843, -4.44523646])"
197,INTERNEURONS,,AVJR,"array([ 8.60582223, -4.60695905])"
198,INTERNEURONS,,PVT,"array([ 8.41686824, -5.31549091])"
199,INTERNEURONS,,AVDL,"array([ 7.70125051, -3.76890162])"
200,INTERNEURONS,,AVDR,"array([ 7.87396051, -3.75844883])"
201,INTERNEURONS,,AVL,"array([ 8.6466585 , -5.33558458])"
202,INTERNEURONS,,PVWL,"array([ 8.04869068, -3.42457429])"
203,INTERNEURONS,,PVWR,"array([ 8.27688152, -3.31963587])"
204,INTERNEURONS,,RIAL,"array([ 5.22492756, -4.92158681])"
205,INTERNEURONS,,RIAR,"array([ 5.93222873, -5.0237944 ])"
206,INTERNEURONS,,RIML,"array([ 7.66722853, -6.20533193])"
207,INTERNEURONS,,RIMR,"array([ 6.59183791, -5.30229432])"
208,INTERNEURONS,,AVEL,"array([ 7.37624126, -5.38899974])"
209,INTERNEURONS,,AVER,"array([ 7.28616998, -5.72344907])"
210,INTERNEURONS,,RMFL,"array([ 0.38594014, -2.4710857 ])"
211,INTERNEURONS,,RMFR,"array([ 5.58186526, -5.88673592])"
212,INTERNEURONS,,RID,"array([ 6.85883568, -6.09030591])"
213,INTERNEURONS,,AVBL,"array([ 7.64557703, -4.78799575])"
214,INTERNEURONS,,AVBR,"array([ 7.74101076, -4.86806891])"
215,INTERNEURONS,,AVAL,"array([ 7.63213442, -4.28084972])"
216,INTERNEURONS,,AVAR,"array([ 7.61274882, -4.49731774])"
217,INTERNEURONS,,PVCL,"array([ 8.00981723, -4.06247525])"
218,INTERNEURONS,,PVCR,"array([ 8.14670334, -4.16325624])"
219,INTERNEURONS,,RIPL,"array([16.02270788, -2.9065932 ])"
220,INTERNEURONS,,RIPR,"array([ 4.03348641, -8.62926279])"
221,MOTOR NEURONS,HEAD MOTOR NEURONS,URADL,"array([16.2431793 , -4.26556785])"
222,MOTOR NEURONS,HEAD MOTOR NEURONS,URADR,"array([ 3.6189018 , -6.84479237])"
223,MOTOR NEURONS,HEAD MOTOR NEURONS,URAVL,"array([ 5.76521171, -8.71578327])"
224,MOTOR NEURONS,HEAD MOTOR NEURONS,URAVR,"array([ 5.5017446 , -8.49561516])"
225,MOTOR NEURONS,HEAD MOTOR NEURONS,RMEL,"array([ 5.04242873, -7.26168282])"
226,MOTOR NEURONS,HEAD MOTOR NEURONS,RMER,"array([ 5.52693607, -6.75784027])"
227,MOTOR NEURONS,HEAD MOTOR NEURONS,RMED,"array([ 5.78934641, -7.13166988])"
228,MOTOR NEURONS,HEAD MOTOR NEURONS,RMEV,"array([ 7.15019249, -6.11618654])"
229,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDDL,"array([ 6.23818075, -7.45619988])"
230,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDDR,"array([ 6.59760028, -7.42905406])"
231,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDL,"array([14.03286389, -9.67198753])"
232,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDR,"array([ 6.76957577, -6.81510558])"
